account_id,company_name,segment,industry,region,arr,signup_date
ACC-00001,"Ashley, Nielsen and Sellers",Mid-Market,Logistics,EMEA,41341.92,2025-07-20
ACC-00002,"Nguyen, Smith and Hickman",Mid-Market,FinTech,West,69311.17,2025-07-03
ACC-00003,Allen-Allen,Mid-Market,E-commerce,West,44077.51,2024-06-10
ACC-00004,"Arroyo, Miller and Tucker",SMB,Legal Tech,EMEA,20953.36,2025-06-03
ACC-00005,Spence PLC,Enterprise,Legal Tech,EMEA,278780.77,2024-06-05
ACC-00006,Anderson Group,SMB,Cybersecurity,EMEA,24209.5,2025-06-27
ACC-00007,"Martin, Rose and Obrien",Enterprise,Data Infrastructure,Northeast,241467.77,2024-04-24
ACC-00008,Hickman Ltd,Enterprise,Legal Tech,Midwest,107956.8,2025-08-03
ACC-00009,"Harris, Collins and Carney",Enterprise,HealthTech,South,342967.21,2026-02-17
ACC-00010,"Brooks, Lam and Hayes",SMB,Cybersecurity,Midwest,19215.76,2025-07-16
ACC-00011,Walker LLC,SMB,InsurTech,EMEA,15193.34,2024-08-04
ACC-00012,Chapman and Sons,Enterprise,HR Tech,Northeast,213687.61,2025-11-18
ACC-00013,"Robinson, Jones and Welch",Mid-Market,Logistics,EMEA,54346.6,2024-09-10
ACC-00014,Jones Inc,SMB,E-commerce,West,18001.25,2024-08-23
ACC-00015,Jones-Young,Mid-Market,FinTech,West,71009.66,2024-03-01
ACC-00016,"Washington, Ryan and Cummings",SMB,FinTech,Northeast,9204.57,2024-08-31
ACC-00017,"Johnston, Sanchez and Kennedy",SMB,Logistics,Midwest,17166.98,2026-01-10
ACC-00018,Lee-Davis,Enterprise,Data Infrastructure,EMEA,236528.02,2026-03-14
ACC-00019,Gomez-Jenkins,SMB,EdTech,Midwest,9603.54,2025-11-05
ACC-00020,"Brown, Valdez and Lucas",SMB,EdTech,South,15939.42,2026-01-16
ACC-00021,Powell LLC,SMB,HealthTech,West,14844.56,2024-12-13
ACC-00022,Wright and Sons,Mid-Market,HealthTech,Midwest,37453.35,2025-07-03
ACC-00023,"West, Henderson and Ramirez",SMB,EdTech,Midwest,12735.27,2024-09-12
ACC-00024,Baxter Inc,Enterprise,HealthTech,South,340486.9,2026-05-26
ACC-00025,Morton-Chase,Mid-Market,FinTech,EMEA,79341.79,2024-04-05
ACC-00026,Williams PLC,Enterprise,HR Tech,Midwest,215988.36,2025-05-07
ACC-00027,Novak and Sons,SMB,EdTech,West,10798.83,2024-01-03
ACC-00028,Russell Group,Enterprise,Legal Tech,South,178427.26,2025-12-14
ACC-00029,Hancock Inc,Enterprise,InsurTech,South,137987.02,2024-10-30
ACC-00030,Gray Group,SMB,FinTech,EMEA,20507.53,2024-03-03
ACC-00031,House-Glover,Mid-Market,FinTech,West,62971.54,2025-05-29
ACC-00032,Henderson-Bernard,Enterprise,InsurTech,Midwest,107632.67,2025-06-04
ACC-00033,"Stanley, Tucker and Lee",SMB,Cybersecurity,West,18115.6,2025-11-22
ACC-00034,Novak PLC,Mid-Market,EdTech,West,86203.75,2025-08-06
ACC-00035,"Daniels, Adkins and Brown",SMB,Data Infrastructure,West,18529.49,2025-03-05
ACC-00036,"Woods, Calhoun and Schmidt",Mid-Market,Data Infrastructure,EMEA,45564.04,2024-09-24
ACC-00037,Yu Inc,SMB,E-commerce,Midwest,12515.45,2024-05-14
ACC-00038,Jones Inc,Mid-Market,Legal Tech,South,45551.52,2026-02-08
ACC-00039,"Hensley, Powell and David",Enterprise,FinTech,South,282559.37,2025-07-30
ACC-00040,"Sanchez, Wheeler and Harvey",Enterprise,HealthTech,EMEA,156077.84,2024-09-28
ACC-00041,Sandoval-Cunningham,SMB,E-commerce,West,22947.59,2025-01-13
ACC-00042,Donovan-Harris,SMB,Logistics,EMEA,19960.18,2025-09-18
ACC-00043,"Edwards, Baker and Anderson",Enterprise,InsurTech,West,297037.59,2025-07-21
ACC-00044,"Evans, Stewart and Walton",SMB,HealthTech,Midwest,12495.92,2024-04-19
ACC-00045,Smith PLC,Mid-Market,Cybersecurity,Northeast,43314.16,2024-08-03
ACC-00046,"Ferrell, Jones and Lewis",Mid-Market,HR Tech,Northeast,57851.59,2024-09-14
ACC-00047,Anderson-Bailey,Enterprise,FinTech,West,286628.18,2026-04-29
ACC-00048,Suarez LLC,SMB,FinTech,Northeast,21109.03,2025-10-14
ACC-00049,Moore-Bass,Enterprise,Cybersecurity,South,261020.93,2025-03-13
ACC-00050,"Turner, Riggs and Roman",Mid-Market,HealthTech,West,86428.31,2025-12-08
ACC-00051,"Smith, Montoya and Evans",Enterprise,InsurTech,West,348724.46,2025-08-19
ACC-00052,"Garcia, Humphrey and Baker",Mid-Market,EdTech,Midwest,27718.88,2025-01-08
ACC-00053,Newton and Sons,Enterprise,FinTech,Northeast,155123.73,2024-09-12
ACC-00054,Campbell-Clark,Mid-Market,E-commerce,EMEA,82468.76,2025-02-20
ACC-00055,Harris-Walters,Enterprise,Cybersecurity,Midwest,358027.77,2026-03-30
ACC-00056,Wagner-King,Mid-Market,EdTech,West,36658.44,2024-12-06
ACC-00057,Davis Group,Mid-Market,EdTech,Midwest,42342.37,2026-03-17
ACC-00058,Williams-Cook,Mid-Market,EdTech,West,80808.56,2024-08-15
ACC-00059,Walsh LLC,SMB,Logistics,Northeast,13188.24,2026-03-25
ACC-00060,Figueroa PLC,Enterprise,HR Tech,West,294610.29,2025-02-12
ACC-00061,"Patterson, Smith and Jones",SMB,HealthTech,Northeast,13969.48,2025-06-05
ACC-00062,"Mckee, Gardner and Davenport",SMB,InsurTech,Northeast,23967.03,2024-04-28
ACC-00063,"Tran, Jordan and Williams",Enterprise,Legal Tech,Midwest,269982.82,2024-09-28
ACC-00064,Nolan-Flynn,SMB,Data Infrastructure,South,13876.68,2026-03-16
ACC-00065,Nolan and Sons,SMB,Data Infrastructure,EMEA,9965.98,2025-08-13
ACC-00066,"Wright, Garcia and Deleon",SMB,FinTech,South,8028.75,2026-04-05
ACC-00067,Dickson-Brady,SMB,HR Tech,Northeast,15332.06,2025-11-11
ACC-00068,Hancock and Sons,Enterprise,Data Infrastructure,Northeast,295650.12,2024-05-07
ACC-00069,Johnson-Doyle,Mid-Market,Legal Tech,EMEA,45103.5,2025-02-22
ACC-00070,Patton-Jenkins,SMB,Legal Tech,EMEA,10163.89,2025-03-06
ACC-00071,"Shields, Cochran and Adams",Mid-Market,EdTech,Midwest,65008.47,2024-11-04
ACC-00072,"Rodriguez, Brennan and Garrison",SMB,FinTech,Northeast,12877.53,2025-03-16
ACC-00073,Gonzalez Group,Mid-Market,Data Infrastructure,Northeast,55224.23,2025-03-28
ACC-00074,Torres-Pope,Mid-Market,InsurTech,South,76592.8,2026-03-26
ACC-00075,Walker Ltd,Mid-Market,HealthTech,Northeast,58504.38,2025-10-10
ACC-00076,Ross LLC,Mid-Market,HealthTech,Midwest,68731.72,2024-08-18
ACC-00077,Rasmussen LLC,Mid-Market,Cybersecurity,West,28003.89,2025-05-01
ACC-00078,May-Ross,Mid-Market,HealthTech,South,51938.67,2025-10-06
ACC-00079,"Rivera, Johnson and Wiley",Mid-Market,EdTech,South,50977.44,2024-05-31
ACC-00080,White-Estes,Mid-Market,FinTech,West,75597.33,2024-08-12
ACC-00081,Johnson-Carlson,SMB,InsurTech,South,8853.71,2024-09-12
ACC-00082,Chandler-Edwards,Enterprise,HealthTech,South,131335.12,2025-04-20
ACC-00083,"Joyce, Wilson and Lam",Mid-Market,InsurTech,EMEA,45624.37,2026-02-12
ACC-00084,Scott Ltd,Enterprise,Data Infrastructure,EMEA,222289.63,2025-07-15
ACC-00085,Smith-Frost,SMB,Cybersecurity,South,15651.19,2026-02-08
ACC-00086,"Mcdaniel, Bentley and Mclaughlin",SMB,Legal Tech,EMEA,16238.15,2024-09-01
ACC-00087,Diaz Inc,SMB,HealthTech,Northeast,11986.39,2024-12-09
ACC-00088,"Mccall, Hanson and Alvarado",SMB,InsurTech,West,10352.36,2024-08-24
ACC-00089,Cortez LLC,SMB,Cybersecurity,Midwest,9091.89,2025-02-21
ACC-00090,"Parker, Ortiz and Powell",SMB,Logistics,South,9058.52,2026-05-02
ACC-00091,Spencer-Lee,SMB,Data Infrastructure,West,22564.44,2026-02-22
ACC-00092,"Bentley, Byrd and Orr",Mid-Market,Logistics,West,86278.21,2024-11-01
ACC-00093,"Carroll, Sullivan and Bass",Mid-Market,EdTech,EMEA,73588.52,2025-07-13
ACC-00094,Mitchell-Jordan,Mid-Market,HR Tech,South,39262.41,2025-03-22
ACC-00095,"Lawson, Morris and Ramos",SMB,EdTech,Northeast,19370.85,2026-03-28
ACC-00096,"Lewis, Kennedy and Santana",SMB,Cybersecurity,South,23632.21,2025-09-29
ACC-00097,"Jackson, Miller and Robertson",SMB,EdTech,EMEA,17594.66,2024-01-28
ACC-00098,"Harvey, Davis and Crane",SMB,EdTech,Midwest,22736.47,2024-07-05
ACC-00099,Chambers and Sons,SMB,EdTech,Northeast,11598.22,2024-11-30
ACC-00100,Hernandez Inc,SMB,EdTech,Northeast,20784.17,2026-05-01
ACC-00101,Riggs PLC,SMB,HealthTech,South,8329.52,2025-07-06
ACC-00102,Gibson Ltd,SMB,E-commerce,Midwest,19052.45,2026-03-10
ACC-00103,"Lee, Horton and Snyder",Enterprise,FinTech,West,384379.64,2024-07-23
ACC-00104,Hernandez Ltd,Mid-Market,Data Infrastructure,Midwest,40505.42,2025-04-29
ACC-00105,Stafford Inc,Mid-Market,Data Infrastructure,Midwest,55227.21,2024-09-19
ACC-00106,Robinson-Brock,Mid-Market,Cybersecurity,EMEA,64471.09,2026-02-04
ACC-00107,"Holmes, Williams and Wright",Mid-Market,Cybersecurity,Northeast,32026.42,2024-01-27
ACC-00108,Bryant Group,Enterprise,Data Infrastructure,South,212962.88,2026-01-02
ACC-00109,"Schmidt, Hansen and Stewart",SMB,Data Infrastructure,Midwest,9732.32,2026-03-02
ACC-00110,Salazar-Ball,SMB,Data Infrastructure,West,21535.86,2025-08-02
ACC-00111,"Simmons, Meadows and Griffin",Mid-Market,E-commerce,EMEA,52844.57,2025-01-14
ACC-00112,Manning Group,SMB,E-commerce,West,22442.79,2026-04-22
ACC-00113,Green-Wright,SMB,EdTech,Northeast,18804.95,2026-04-28
