lead_id,segment,lead_source,status,created_at
LEAD-000001,SMB,Partner Referral,SQL,2026-02-14
LEAD-000002,SMB,Security Conference,MQL,2026-05-16
LEAD-000003,SMB,G2/Capterra Review,New,2025-07-25
LEAD-000004,SMB,Content Download,SQL,2026-01-25
LEAD-000005,SMB,Outbound Prospecting,MQL,2025-12-03
LEAD-000006,Mid-Market,,New,2026-03-15
LEAD-000007,SMB,Content Download,New,2024-12-04
LEAD-000008,Mid-Market,G2/Capterra Review,Opportunity,2025-02-04
LEAD-000009,SMB,G2/Capterra Review,New,2025-08-06
LEAD-000010,Enterprise,Compliance Webinar,New,2025-07-20
LEAD-000011,SMB,Security Conference,Disqualified,2025-01-30
LEAD-000012,SMB,Partner Referral,MQL,2025-04-10
LEAD-000013,SMB,Paid Search,New,2025-02-24
LEAD-000014,SMB,Organic Search,New,2026-01-30
LEAD-000015,SMB,Partner Referral,New,2025-03-18
LEAD-000016,Mid-Market,Security Conference,New,2024-11-13
LEAD-000017,Mid-Market,,MQL,2024-05-26
LEAD-000018,SMB,G2/Capterra Review,SQL,2024-12-02
LEAD-000019,Enterprise,Security Conference,MQL,2026-01-24
LEAD-000020,SMB,Security Conference,MQL,2026-03-22
LEAD-000021,SMB,Content Download,MQL,2025-09-24
LEAD-000022,Mid-Market,Security Conference,MQL,2025-12-16
LEAD-000023,Mid-Market,G2/Capterra Review,SQL,2026-06-10
LEAD-000024,SMB,Compliance Webinar,SQL,2026-01-13
LEAD-000025,Mid-Market,Partner Referral,Opportunity,2026-02-19
LEAD-000026,Mid-Market,Outbound Prospecting,New,2026-02-23
LEAD-000027,Mid-Market,G2/Capterra Review,MQL,2025-06-02
LEAD-000028,SMB,Paid Search,New,2026-02-06
LEAD-000029,SMB,Outbound Prospecting,SQL,2025-02-10
LEAD-000030,SMB,Compliance Webinar,New,2024-11-30
LEAD-000031,Mid-Market,Security Conference,MQL,2025-07-15
LEAD-000032,Mid-Market,Security Conference,New,2026-05-11
LEAD-000033,SMB,Paid Search,SQL,2024-05-07
LEAD-000034,SMB,G2/Capterra Review,New,2024-01-12
LEAD-000035,Mid-Market,Content Download,MQL,2026-01-01
LEAD-000036,SMB,Partner Referral,SQL,2025-10-12
LEAD-000037,Mid-Market,Organic Search,MQL,2024-02-23
LEAD-000038,Mid-Market,Paid Search,SQL,2024-09-12
LEAD-000039,SMB,,New,2024-01-29
LEAD-000040,Enterprise,Outbound Prospecting,SQL,2024-03-05
LEAD-000041,SMB,Organic Search,SQL,2024-06-20
LEAD-000042,Mid-Market,Paid Search,MQL,2024-11-30
LEAD-000043,SMB,Partner Referral,SQL,2025-02-08
LEAD-000044,Enterprise,Organic Search,New,2024-11-27
LEAD-000045,SMB,,SQL,2024-08-05
LEAD-000046,SMB,Organic Search,SQL,2025-09-30
LEAD-000047,SMB,Organic Search,Opportunity,2026-02-24
LEAD-000048,Mid-Market,Organic Search,SQL,2026-05-20
LEAD-000049,Mid-Market,Compliance Webinar,Opportunity,2025-10-08
LEAD-000050,Mid-Market,Content Download,New,2025-12-05
LEAD-000051,SMB,,New,2025-08-22
LEAD-000052,SMB,Partner Referral,SQL,2024-01-14
LEAD-000053,SMB,Organic Search,MQL,2026-02-14
LEAD-000054,SMB,Organic Search,New,2024-10-30
LEAD-000055,SMB,G2/Capterra Review,New,2026-01-12
LEAD-000056,Mid-Market,Security Conference,Opportunity,2024-10-11
LEAD-000057,SMB,Paid Search,MQL,2025-10-25
LEAD-000058,Mid-Market,Paid Search,New,2024-12-16
LEAD-000059,SMB,Paid Search,Opportunity,2024-09-11
LEAD-000060,Mid-Market,Partner Referral,SQL,2024-11-25
LEAD-000061,SMB,Paid Search,New,2024-07-16
LEAD-000062,SMB,Content Download,Opportunity,2024-06-26
LEAD-000063,Mid-Market,Partner Referral,New,2026-01-12
LEAD-000064,SMB,Content Download,SQL,2024-06-29
LEAD-000065,Mid-Market,Compliance Webinar,New,2025-10-12
LEAD-000066,SMB,Security Conference,New,2025-02-11
LEAD-000067,SMB,Security Conference,SQL,2026-01-22
LEAD-000068,SMB,Content Download,SQL,2024-01-21
LEAD-000069,Mid-Market,G2/Capterra Review,SQL,2024-11-03
LEAD-000070,Mid-Market,Content Download,MQL,2025-01-24
LEAD-000071,SMB,Security Conference,MQL,2025-05-07
LEAD-000072,SMB,Content Download,SQL,2024-07-13
LEAD-000073,SMB,Outbound Prospecting,MQL,2025-02-08
LEAD-000074,Enterprise,Outbound Prospecting,New,2025-08-25
LEAD-000075,SMB,Paid Search,Opportunity,2025-08-02
LEAD-000076,SMB,G2/Capterra Review,Opportunity,2026-02-08
LEAD-000077,Mid-Market,Security Conference,SQL,2024-02-29
LEAD-000078,Mid-Market,G2/Capterra Review,SQL,2024-02-05
LEAD-000079,Enterprise,Outbound Prospecting,MQL,2025-12-15
LEAD-000080,Mid-Market,Content Download,New,2025-11-28
LEAD-000081,SMB,Partner Referral,SQL,2026-05-11
LEAD-000082,SMB,Organic Search,SQL,2025-01-28
LEAD-000083,SMB,Organic Search,MQL,2025-03-09
LEAD-000084,SMB,G2/Capterra Review,New,2025-06-29
LEAD-000085,Mid-Market,G2/Capterra Review,MQL,2026-02-09
