opp_id,lead_id,account_id,rep_id,segment,lead_source,plan,stage,amount,created_date,close_date
OPP-000001,LEAD-000001,ACC-00394,REP-0029,SMB,Partner Referral,SOC2 Starter,Closed Lost,1417.41,2026-02-14,2026-02-28
OPP-000002,LEAD-000004,ACC-00640,REP-0012,SMB,Content Download,SOC2 Starter,Closed Won,1452.89,2026-01-25,2026-02-16
OPP-000003,LEAD-000008,ACC-00577,REP-0008,Mid-Market,G2/Capterra Review,SOC2 + ISO 27001,Closed Lost,2384.29,2025-02-04,2025-03-23
OPP-000004,LEAD-000018,ACC-00349,REP-0028,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1172.5,2024-12-02,2024-12-31
OPP-000005,LEAD-000023,ACC-00667,REP-0023,Mid-Market,G2/Capterra Review,SOC2 Starter,Discovery,1097.42,2026-06-10,2026-06-30
OPP-000006,LEAD-000024,ACC-00882,REP-0010,SMB,Compliance Webinar,SOC2 Starter,Closed Won,1086.36,2026-01-13,2026-01-22
OPP-000007,LEAD-000025,ACC-01409,REP-0024,Mid-Market,Partner Referral,Enterprise Multi-Framework,Closed Won,6553.35,2026-02-19,2026-03-15
OPP-000008,LEAD-000029,ACC-00272,REP-0024,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1218.61,2025-02-10,2025-02-21
OPP-000009,LEAD-000033,ACC-01109,REP-0033,SMB,Paid Search,SOC2 Starter,Closed Lost,1369.5,2024-05-07,2024-06-03
OPP-000010,LEAD-000036,ACC-01077,REP-0012,SMB,Partner Referral,SOC2 Starter,Closed Won,1058.78,2025-10-12,2025-11-10
OPP-000011,LEAD-000038,ACC-00802,REP-0013,Mid-Market,Paid Search,SOC2 Starter,Closed Lost,1374.55,2024-09-12,2024-10-21
OPP-000012,LEAD-000040,ACC-00434,REP-0032,Enterprise,Outbound Prospecting,SOC2 Starter,Closed Lost,1239.62,2024-03-05,2024-08-05
OPP-000013,LEAD-000041,ACC-00325,REP-0029,SMB,Organic Search,SOC2 Starter,Closed Lost,1087.7,2024-06-20,2024-07-04
OPP-000014,LEAD-000043,ACC-00916,REP-0028,SMB,Partner Referral,SOC2 Starter,Closed Lost,1201.3,2025-02-08,2025-03-01
OPP-000015,LEAD-000045,ACC-01038,REP-0033,SMB,,SOC2 Starter,Closed Lost,1431.65,2024-08-05,2024-08-15
OPP-000016,LEAD-000046,ACC-01101,REP-0029,SMB,Organic Search,SOC2 Starter,Closed Lost,1335.13,2025-09-30,2025-10-27
OPP-000017,LEAD-000047,ACC-00310,REP-0037,SMB,Organic Search,SOC2 Starter,Closed Lost,1445.18,2026-02-24,2026-03-12
OPP-000018,LEAD-000048,ACC-00413,REP-0027,Mid-Market,Organic Search,SOC2 Starter,Proposal,1553.62,2026-05-20,2026-06-30
OPP-000019,LEAD-000049,ACC-01699,REP-0026,Mid-Market,Compliance Webinar,Enterprise Multi-Framework,Closed Lost,8344.51,2025-10-08,2025-11-29
OPP-000020,LEAD-000052,ACC-00010,REP-0022,SMB,Partner Referral,SOC2 Starter,Closed Lost,1257.14,2024-01-14,2024-01-28
OPP-000021,LEAD-000056,ACC-01027,REP-0014,Mid-Market,Security Conference,SOC2 Starter,Closed Won,1507.05,2024-10-11,2024-11-02
OPP-000022,LEAD-000059,ACC-01457,REP-0014,SMB,Paid Search,SOC2 Starter,Closed Lost,1204.43,2024-09-11,2024-09-21
OPP-000023,LEAD-000060,ACC-00620,REP-0003,Mid-Market,Partner Referral,SOC2 Starter,Closed Lost,1127.84,2024-11-25,2025-01-19
OPP-000024,LEAD-000062,ACC-01340,REP-0021,SMB,Content Download,SOC2 Starter,Closed Lost,1076.92,2024-06-26,2024-07-24
OPP-000025,LEAD-000064,ACC-00825,REP-0018,SMB,Content Download,SOC2 Starter,Closed Won,1248.62,2024-06-29,2024-07-23
OPP-000026,LEAD-000067,ACC-01102,REP-0004,SMB,Security Conference,SOC2 Starter,Closed Won,1305.39,2026-01-22,2026-02-01
OPP-000027,LEAD-000068,ACC-01420,REP-0040,SMB,Content Download,SOC2 Starter,Closed Lost,1058.86,2024-01-21,2024-02-17
OPP-000028,LEAD-000069,ACC-00725,REP-0018,Mid-Market,G2/Capterra Review,SOC2 Starter,Closed Lost,1214.12,2024-11-03,2024-12-08
OPP-000029,LEAD-000072,ACC-00504,REP-0017,SMB,Content Download,SOC2 Starter,Closed Lost,1065.61,2024-07-13,2024-07-22
OPP-000030,LEAD-000075,ACC-01380,REP-0025,SMB,Paid Search,SOC2 Starter,Closed Lost,1119.01,2025-08-02,2025-08-22
OPP-000031,LEAD-000076,ACC-01466,REP-0025,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1533.31,2026-02-08,2026-02-26
OPP-000032,LEAD-000077,ACC-00841,REP-0012,Mid-Market,Security Conference,Enterprise Multi-Framework,Closed Lost,7394.36,2024-02-29,2024-04-08
OPP-000033,LEAD-000078,ACC-00270,REP-0010,Mid-Market,G2/Capterra Review,Enterprise Multi-Framework,Closed Lost,5953.27,2024-02-05,2024-03-02
OPP-000034,LEAD-000081,ACC-00873,REP-0007,SMB,Partner Referral,SOC2 Starter,Closed Lost,1087.7,2026-05-11,2026-05-25
OPP-000035,LEAD-000082,ACC-00124,REP-0034,SMB,Organic Search,SOC2 Starter,Closed Lost,1279.24,2025-01-28,2025-02-13
OPP-000036,LEAD-000089,ACC-01257,REP-0038,SMB,Organic Search,SOC2 Starter,Closed Lost,1402.91,2025-03-02,2025-03-24
OPP-000037,LEAD-000094,ACC-01073,REP-0005,SMB,Organic Search,SOC2 Starter,Closed Lost,1211.06,2024-10-27,2024-11-04
OPP-000038,LEAD-000096,ACC-01777,REP-0028,SMB,Security Conference,SOC2 Starter,Closed Lost,1046.79,2024-03-03,2024-03-26
OPP-000039,LEAD-000097,ACC-01093,REP-0014,SMB,Paid Search,SOC2 Starter,Closed Lost,1320.86,2024-02-12,2024-03-03
OPP-000040,LEAD-000099,ACC-01658,REP-0011,SMB,Security Conference,SOC2 Starter,Closed Lost,1142.06,2025-03-15,2025-03-25
OPP-000041,LEAD-000100,ACC-00402,REP-0004,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1171.51,2025-01-04,2025-01-27
OPP-000042,LEAD-000105,ACC-00405,REP-0038,Mid-Market,,SOC2 Starter,Closed Won,1034.13,2025-10-15,2025-11-16
OPP-000043,LEAD-000109,ACC-00107,REP-0022,Enterprise,Organic Search,SOC2 Starter,Closed Won,1280.48,2024-07-18,2024-11-05
OPP-000044,LEAD-000114,ACC-01296,REP-0012,Enterprise,Outbound Prospecting,SOC2 + ISO 27001,Closed Lost,3504.94,2024-08-13,2024-12-14
OPP-000045,LEAD-000115,ACC-00920,REP-0040,Mid-Market,Security Conference,Enterprise Multi-Framework,Closed Lost,6027.47,2025-11-12,2026-01-16
OPP-000046,LEAD-000117,ACC-00474,REP-0011,SMB,Organic Search,SOC2 Starter,Closed Won,1198.29,2026-01-04,2026-01-25
OPP-000047,LEAD-000118,ACC-00357,REP-0010,Mid-Market,G2/Capterra Review,SOC2 Starter,Negotiation,1093.0,2026-05-26,2026-06-30
OPP-000048,LEAD-000120,ACC-00929,REP-0012,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1340.04,2026-02-01,2026-02-18
OPP-000049,LEAD-000126,ACC-01748,REP-0016,Mid-Market,Compliance Webinar,SOC2 + ISO 27001,Closed Lost,3351.28,2025-04-11,2025-06-13
OPP-000050,LEAD-000129,ACC-00754,REP-0019,SMB,Security Conference,SOC2 Starter,Closed Lost,1236.98,2024-10-25,2024-11-08
OPP-000051,LEAD-000131,ACC-00638,REP-0024,Mid-Market,Partner Referral,SOC2 Starter,Closed Lost,1276.8,2024-08-18,2024-09-24
OPP-000052,LEAD-000132,ACC-01289,REP-0037,Mid-Market,Paid Search,SOC2 Starter,Proposal,1235.88,2026-05-27,2026-06-30
OPP-000053,LEAD-000135,ACC-01227,REP-0034,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1548.16,2025-06-24,2025-07-08
OPP-000054,LEAD-000136,ACC-01331,REP-0024,Mid-Market,Compliance Webinar,SOC2 + ISO 27001,Closed Lost,3065.63,2026-05-26,2026-06-16
OPP-000055,LEAD-000138,ACC-01106,REP-0032,Mid-Market,Paid Search,SOC2 + ISO 27001,Closed Lost,3322.07,2025-04-13,2025-05-05
OPP-000056,LEAD-000140,ACC-00065,REP-0040,SMB,,SOC2 Starter,Closed Won,1259.65,2026-01-13,2026-02-07
OPP-000057,LEAD-000141,ACC-00297,REP-0007,Mid-Market,Organic Search,SOC2 + ISO 27001,Closed Won,3629.13,2024-05-31,2024-06-24
OPP-000058,LEAD-000142,ACC-01448,REP-0033,SMB,G2/Capterra Review,SOC2 Starter,Closed Won,1079.4,2024-02-27,2024-03-05
OPP-000059,LEAD-000144,ACC-01552,REP-0024,Mid-Market,G2/Capterra Review,SOC2 Starter,Closed Lost,1082.39,2025-02-17,2025-04-04
OPP-000060,LEAD-000146,ACC-00171,REP-0020,Mid-Market,Content Download,Enterprise Multi-Framework,Closed Lost,6109.7,2025-12-09,2025-12-30
OPP-000061,LEAD-000147,ACC-00428,REP-0021,Enterprise,Organic Search,SOC2 Starter,Closed Lost,1552.56,2025-10-27,2026-04-13
OPP-000062,LEAD-000150,ACC-01658,REP-0025,SMB,Organic Search,SOC2 Starter,Closed Won,1554.43,2025-05-10,2025-05-18
OPP-000063,LEAD-000154,ACC-01523,REP-0018,Mid-Market,Organic Search,SOC2 Starter,Closed Lost,1144.8,2025-11-05,2026-01-12
OPP-000064,LEAD-000155,ACC-00777,REP-0007,Enterprise,Content Download,SOC2 Starter,Closed Lost,1122.76,2024-01-06,2024-06-29
OPP-000065,LEAD-000162,ACC-00016,REP-0005,Mid-Market,Partner Referral,Enterprise Multi-Framework,Closed Lost,7847.3,2024-02-15,2024-03-11
OPP-000066,LEAD-000164,ACC-00605,REP-0021,Enterprise,Partner Referral,SOC2 Starter,Closed Won,1346.01,2026-01-16,2026-04-18
OPP-000067,LEAD-000168,ACC-01305,REP-0037,SMB,Partner Referral,SOC2 Starter,Closed Won,1503.83,2025-10-25,2025-11-12
OPP-000068,LEAD-000170,ACC-00024,REP-0001,SMB,Paid Search,SOC2 Starter,Closed Lost,1456.64,2024-10-03,2024-10-20
OPP-000069,LEAD-000171,ACC-01306,REP-0023,SMB,Organic Search,SOC2 Starter,Closed Lost,1216.99,2024-12-03,2024-12-15
OPP-000070,LEAD-000172,ACC-00756,REP-0006,Mid-Market,Outbound Prospecting,SOC2 Starter,Closed Won,1162.42,2024-05-29,2024-08-08
OPP-000071,LEAD-000174,ACC-00492,REP-0002,SMB,Organic Search,SOC2 Starter,Closed Lost,1545.23,2025-06-23,2025-07-04
OPP-000072,LEAD-000176,ACC-01605,REP-0025,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1196.33,2024-02-19,2024-03-12
OPP-000073,LEAD-000179,ACC-00868,REP-0002,Mid-Market,Content Download,SOC2 Starter,Closed Won,1217.82,2025-08-04,2025-09-11
OPP-000074,LEAD-000180,ACC-00913,REP-0029,Mid-Market,Paid Search,Enterprise Multi-Framework,Closed Lost,5653.25,2025-01-14,2025-02-21
OPP-000075,LEAD-000181,ACC-00965,REP-0006,Mid-Market,Partner Referral,Enterprise Multi-Framework,Closed Won,6975.77,2025-04-13,2025-05-24
OPP-000076,LEAD-000182,ACC-01398,REP-0040,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1447.89,2024-10-09,2024-11-04
OPP-000077,LEAD-000184,ACC-01574,REP-0023,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1270.88,2024-03-19,2024-03-31
OPP-000078,LEAD-000186,ACC-01071,REP-0040,SMB,,SOC2 Starter,Closed Lost,1455.9,2025-03-10,2025-04-08
OPP-000079,LEAD-000189,ACC-00237,REP-0026,Mid-Market,G2/Capterra Review,SOC2 + ISO 27001,Closed Won,3603.21,2024-09-07,2024-11-01
OPP-000080,LEAD-000193,ACC-00650,REP-0008,Enterprise,Outbound Prospecting,SOC2 + ISO 27001,Closed Won,2526.17,2025-07-06,2025-10-07
OPP-000081,LEAD-000196,ACC-00600,REP-0033,SMB,Paid Search,SOC2 Starter,Closed Lost,1244.89,2026-05-18,2026-06-03
OPP-000082,LEAD-000205,ACC-00445,REP-0005,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1420.18,2024-07-22,2024-08-19
OPP-000083,LEAD-000212,ACC-01724,REP-0017,SMB,Content Download,SOC2 Starter,Closed Lost,1388.49,2024-10-14,2024-10-23
OPP-000084,LEAD-000213,ACC-00824,REP-0039,Mid-Market,Compliance Webinar,Enterprise Multi-Framework,Closed Lost,5681.5,2026-04-20,2026-05-29
OPP-000085,LEAD-000214,ACC-00721,REP-0031,SMB,Security Conference,SOC2 Starter,Closed Won,1024.02,2025-12-18,2026-01-17
OPP-000086,LEAD-000222,ACC-00251,REP-0006,SMB,Paid Search,SOC2 Starter,Closed Lost,1269.21,2024-10-19,2024-11-10
OPP-000087,LEAD-000231,ACC-00793,REP-0007,Mid-Market,Outbound Prospecting,SOC2 Starter,Closed Won,1382.94,2026-01-04,2026-03-06
OPP-000088,LEAD-000234,ACC-00926,REP-0014,SMB,Paid Search,SOC2 Starter,Closed Won,1534.28,2026-01-28,2026-02-21
OPP-000089,LEAD-000235,ACC-01294,REP-0006,Mid-Market,Security Conference,SOC2 + ISO 27001,Closed Lost,2972.36,2024-03-17,2024-04-16
OPP-000090,LEAD-000236,ACC-00780,REP-0023,SMB,G2/Capterra Review,SOC2 Starter,Closed Won,1327.66,2025-09-13,2025-10-03
OPP-000091,LEAD-000238,ACC-01364,REP-0021,Mid-Market,Security Conference,Enterprise Multi-Framework,Closed Lost,5692.46,2024-09-22,2024-12-05
OPP-000092,LEAD-000241,ACC-01789,REP-0029,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1060.57,2026-03-20,2026-04-13
OPP-000093,LEAD-000242,ACC-00863,REP-0018,SMB,Partner Referral,SOC2 Starter,Closed Lost,1183.6,2024-04-28,2024-05-11
OPP-000094,LEAD-000243,ACC-01354,REP-0005,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1191.24,2024-11-28,2024-12-08
OPP-000095,LEAD-000244,ACC-00598,REP-0026,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1305.21,2025-09-18,2025-10-08
OPP-000096,LEAD-000245,ACC-00260,REP-0015,SMB,,SOC2 Starter,Closed Lost,1496.45,2024-12-30,2025-01-07
OPP-000097,LEAD-000247,ACC-00259,REP-0005,Mid-Market,Organic Search,SOC2 + ISO 27001,Closed Lost,2449.07,2025-10-31,2025-12-17
OPP-000098,LEAD-000248,ACC-01062,REP-0039,SMB,Partner Referral,SOC2 Starter,Closed Lost,1351.23,2024-10-02,2024-10-20
OPP-000099,LEAD-000250,ACC-00488,REP-0018,SMB,Content Download,SOC2 Starter,Closed Lost,1054.9,2024-07-04,2024-08-02
OPP-000100,LEAD-000256,ACC-01544,REP-0032,SMB,Paid Search,SOC2 Starter,Closed Lost,1431.07,2024-02-14,2024-03-01
